orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
106039,106039,txn,,family,Turnipacidae,subjective synonym of,39347,family,Turnicidae,36640,74715,extant,36,Chordata,33815,Aves,36616,Charadriiformes,36640,Turnicidae,39347,,,,,,,,4,10
39581,39581,txn,,family,Scolopacidae,,39581,family,Scolopacidae,36640,4783,extant,488,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,Scolopax,129788,,,25,94
400750,400750,txn,,subfamily,Numeniinae,,400750,subfamily,Numeniinae,39581,71102,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
432676,432676,txn,,subfamily,Calidriinae,,432676,subfamily,Calidriinae,39581,75140,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
414874,414874,txn,,subfamily,Palaeotringinae,,414874,subfamily,Palaeotringinae,39581,31036,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
370810,370810,txn,,subfamily,Scolopacinae,,370810,subfamily,Scolopacinae,39581,65508,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
400751,400751,txn,,subfamily,Calidrinae,,400751,subfamily,Calidrinae,39581,71102,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
370808,370808,txn,,subfamily,Eroliinae,,370808,subfamily,Eroliinae,39581,65508,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
98944,98944,txn,,family,Phalaropodidae,subjective synonym of,39581,family,Scolopacidae,36640,24173,extant,488,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,25,94
370816,370816,txn,,subfamily,Limosinae,,370816,subfamily,Limosinae,39581,65508,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,0,0
222589,222589,txn,,subfamily,Tringinae,,222589,subfamily,Tringinae,39581,40374,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Scolopacidae,39581,,,,,,,,1,1
39602,39602,txn,,family,Stercorariidae,,39602,family,Stercorariidae,36640,4783,extant,26,Chordata,33815,Aves,36616,Charadriiformes,36640,Stercorariidae,39602,,,,,,,,1,8
39577,39577,txn,,family,Thinocoridae,,39577,family,Thinocoridae,36640,4783,extant,7,Chordata,33815,Aves,36616,Charadriiformes,36640,Thinocoridae,39577,,,,Thinocorus,289795,,,2,3
98938,98938,txn,,suborder,Limicolae,,98938,suborder,Limicolae,36640,24173,extant,115,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,4,16,31
98945,98945,txn,,infraorder,Charadriides,,98945,infraorder,Charadriides,98938,24173,extant,112,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,2,13,29
98946,98946,txn,,superfamily,Charadrioidea,,98946,superfamily,Charadrioidea,98945,24173,extant,112,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,2,13,29
349766,349766,txn,,family,Rhegminornithidae,,349766,family,Rhegminornithidae,98946,75157,extinct,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Rhegminornithidae,349766,,,,,,,,1,1
39584,39584,txn,,family,Charadriidae,,39584,family,Charadriidae,98946,4783,extant,111,Chordata,33815,Aves,36616,Charadriiformes,36640,Charadriidae,39584,,,,,,,,12,28
370799,370799,txn,,subfamily,Charadriinae,,370799,subfamily,Charadriinae,39584,65508,extant,3,Chordata,33815,Aves,36616,Charadriiformes,36640,Charadriidae,39584,,,,,,,,2,1
289783,289783,txn,,subfamily,Vanellinae,,289783,subfamily,Vanellinae,39584,50354,extant,2,Chordata,33815,Aves,36616,Charadriiformes,36640,Charadriidae,39584,,,,,,,,3,2
400749,400749,txn,,subfamily,Pluvialinae,,400749,subfamily,Pluvialinae,39584,71102,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Charadriidae,39584,,,,,,,,0,0
98950,98950,txn,,superfamily,Burhinoidea,,98950,superfamily,Burhinoidea,98945,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98951,98951,txn,,superfamily,Haematopoidea,,98951,superfamily,Haematopoidea,98945,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98947,98947,txn,,superfamily,Glareoloidea,,98947,superfamily,Glareoloidea,98945,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98941,98941,txn,,infraorder,Scolopacides,,98941,infraorder,Scolopacides,98938,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98943,98943,txn,,superfamily,Scolopacoidea,,98943,superfamily,Scolopacoidea,98941,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98942,98942,txn,,superfamily,Thinocoroidea,,98942,superfamily,Thinocoroidea,98941,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,0,0
98939,98939,txn,,infraorder,Dromaides,,98939,infraorder,Dromaides,98938,24173,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,1,1,1
39576,39576,txn,,family,Dromadidae,,39576,family,Dromadidae,98939,4783,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Dromadidae,39576,,,,,,,,1,1
336454,336454,txn,,family,Ibididae,,336454,family,Ibididae,98938,58063,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Ibididae,336454,,,,,,,,1,1
171016,171016,txn,,suborder,Charadrii,,171016,suborder,Charadrii,36640,33900,extant,10,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,2,4,4
345788,345788,txn,,superfamily,Chionoidea,,345788,superfamily,Chionoidea,171016,60030,extant,5,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,2,2
400379,400379,txn,,family,Ibidorhynchidae,,400379,family,Ibidorhynchidae,171016,71102,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Ibidorhynchidae,400379,,,,,,,,1,1
400377,400377,txn,,family,Pluvianellidae,,400377,family,Pluvianellidae,171016,71102,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Pluvianellidae,400377,,,,,,,,0,0
39578,39578,txn,,family,Pedionomidae,,39578,family,Pedionomidae,36640,4783,extant,5,Chordata,33815,Aves,36616,Charadriiformes,36640,Pedionomidae,39578,,,,Pedionomus,369373,,,2,2
206162,206162,txn,,unranked clade,Panalcidae,,206162,unranked clade,Panalcidae,36640,38584,extant,26,Chordata,33815,Aves,36616,Charadriiformes,36640,Panalcidae,206162,,,,,,0,0,1,1
39561,39561,txn,,family,Burhinidae,,39561,family,Burhinidae,36640,4783,extant,16,Chordata,33815,Aves,36616,Charadriiformes,36640,Burhinidae,39561,,,,,,,,2,12
39572,39572,txn,,family,Cimolopterygidae,,39572,family,Cimolopterygidae,36640,33900,extinct,11,Chordata,33815,Aves,36616,Charadriiformes,36640,Cimolopterygidae,39572,,,,,,,,3,6
39573,39573,txn,,family,Dakotornithidae,,39573,family,Dakotornithidae,36640,37642,extinct,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Dakotornithidae,39573,,,,,,,,1,1
372779,372779,txn,,family,Chionidae,,372779,family,Chionidae,36640,65172,extant,2,Chordata,33815,Aves,36616,Charadriiformes,36640,Chionidae,372779,,,,,,,,1,2
333970,333970,txn,,suborder,Scolopaci,,333970,suborder,Scolopaci,36640,57491,extant,10,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,0,2,2
400378,400378,txn,,family,Pluvianidae,,400378,family,Pluvianidae,36640,71102,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Pluvianidae,400378,,,,Pluvianus,414678,,,1,1
98959,98959,txn,,suborder,Lari,,98959,suborder,Lari,36640,24173,extant,1044,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,7,51,155
98960,98960,txn,,infraorder,Chionidides,,98960,infraorder,Chionidides,98959,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,1,0,0
39570,39570,txn,,family,Chionididae,,39570,family,Chionididae,98960,4783,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Chionididae,39570,,,,,,,,0,0
98962,98962,txn,,infraorder,Larides,,98962,infraorder,Larides,98959,24173,extant,460,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,2,25,78
98963,98963,txn,,superfamily,Laroidea,,98963,superfamily,Laroidea,98962,24173,extant,460,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,Larus,36644,,1,25,78
39603,39603,txn,,family,Laridae,,39603,family,Laridae,98963,4783,extant,460,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,25,78
367951,400763,txn,,subfamily,Rynchopinae,,367951,subfamily,Rynchopinae,39603,71102,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,1,1
98964,98964,txn,,subfamily,Larinae,,98964,subfamily,Larinae,39603,24173,extant,4,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,1,0
428879,428879,txn,,tribe,Lareae,,428879,tribe,Lareae,98964,74385,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,1,0
428880,428880,txn,,tribe,Xemeae,,428880,tribe,Xemeae,98964,74385,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,0,0
400752,400752,txn,,subfamily,Anoinae,,400752,subfamily,Anoinae,39603,71212,extant,2,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,1,1
400762,400762,txn,,subfamily,Gyginae,,400762,subfamily,Gyginae,39603,71102,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603,,,,,,,,0,0
98966,98966,txn,,superfamily,Rhynchopoidea,,98966,superfamily,Rhynchopoidea,98962,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,,1,0,0
98967,98967,txn,,family,Rhynchopidae,,98967,family,Rhynchopidae,98966,24173,extant,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Rhynchopidae,98967,,,,,,,,0,0
367948,367948,txn,,unranked clade,Laromorphae,,367948,unranked clade,Laromorphae,98959,13375,extant,30,Chordata,33815,Aves,36616,Charadriiformes,36640,,,,,,,,0,2,3,7
367949,367949,txn,,family,Laricolidae,,367949,family,Laricolidae,367948,13375,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Laricolidae,367949,,,,,,,,0,0
98965,276243,txn,,family,Sternidae,,98965,family,Sternidae,367948,38584,extant,20,Chordata,33815,Aves,36616,Charadriiformes,36640,Sternidae,98965,,,,,,,,1,0
39605,39605,txn,,family,Alcidae,,39605,family,Alcidae,98959,4783,extant,539,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,15,60
370828,370828,txn,,subfamily,Nautilornithinae,,370828,subfamily,Nautilornithinae,39605,65508,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,0,0
83396,83396,txn,,subfamily,Alcinae,,83396,subfamily,Alcinae,39605,18140,extant,165,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,4,9
202158,202158,txn,,tribe,Alcini,,202158,tribe,Alcini,83396,37905,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,0,0
135324,135324,txn,,subfamily,Petralcinae,,135324,subfamily,Petralcinae,39605,28399,extinct,0,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,Petralca,36646,,,0,0
145756,206169,txn,,subfamily,Mancallinae,,145756,subfamily,Mancallinae,39605,38587,extinct,55,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,2,6
83411,83411,txn,,subfamily,Fraterculinae,,83411,subfamily,Fraterculinae,39605,18140,extant,49,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,2,7
276241,276241,txn,,unranked clade,Aethiini,,276241,unranked clade,Aethiini,83411,38584,extant,44,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,Aethia,134696,0,0,2,7
145682,145682,txn,,tribe,Fraterculini,,145682,tribe,Fraterculini,83411,29724,extant,5,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,0,0
86612,86612,txn,,subfamily,Aethiinae,,86612,subfamily,Aethiinae,39605,18140,extant,1,Chordata,33815,Aves,36616,Charadriiformes,36640,Alcidae,39605,,,,,,,,0,0
