,years ma,Arthropoda,Brachiopoda,Foraminifera,Echinodermata,Porifera,Chordata,Mollusca,Bryozoa,Cnidaria,Hyolitha,Problematica,Agmata,Priapulida,Hemichordata,Annelida,Rhodophyta,Lophotrochozoa,Chlorophyta,Cyanobacteria,Ciliophora,Haptophyta,Radiolaria,Lycopodophyta,Bryophyta,Prasinophyta,Onychophora,Lycophyta,Chaetognatha,Proarticulata,Psilophytophyta,Thallophyta,Zosterophyllophyta,Pteridophyta,Tracheophyta,Pinophyta,Coniferophyta,Gymnospermophyta,Ginkgophyta,Lycopodiophyta,Pteridospermophyta,Sphenophyta,Equisetophyta,Angiospermae,Peltaspermophyta,Ochrophyta,Cycadophyta,Spermatophyta,Aneurophytophyta,Phaeophyta,Charophyta,Rhizopodea,Cladoxylophyta,Progymnospermophyta,Magnoliophyta,Gnetophyta,Cycadeoideophyta,Filicophyta,Sipuncula,Myzozoa,Isoetophyta,Anthocerophyta,Cercozoa,Vetulicolia,Ctenophora,Entoprocta,Nematoda,Platyhelminthes,Tardigrada
370,371,159,1556,71,197,193,656,593,79,591,1,33,0,0,0,18,12,17,6,27,0,0,7,26,9,4,0,12,0,0,33,0,14,76,37,5,29,1,33,4,14,2,3,0,0,0,0,0,42,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,372,159,1556,71,197,193,656,593,79,591,1,33,0,0,0,18,12,17,6,27,0,0,7,26,9,4,0,12,0,0,33,0,14,76,37,5,29,1,33,4,14,2,3,0,0,0,0,0,42,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,373,164,4070,158,43,837,767,1174,84,1789,2,11,0,0,1,29,19,76,26,69,0,0,8,42,11,0,0,5,0,0,38,0,2,81,49,3,21,3,1,6,2,3,0,0,2,0,0,0,81,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,374,164,4070,158,43,837,767,1174,84,1789,2,11,0,0,1,29,19,76,26,69,0,0,8,42,11,0,0,5,0,0,38,0,2,81,49,3,21,3,1,6,2,3,0,0,2,0,0,0,81,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,375,164,4070,158,43,837,767,1174,84,1789,2,11,0,0,1,29,19,76,26,69,0,0,8,42,11,0,0,5,0,0,38,0,2,81,49,3,21,3,1,6,2,3,0,0,2,0,0,0,81,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,376,164,4070,158,43,837,767,1174,84,1789,2,11,0,0,1,29,19,76,26,69,0,0,8,42,11,0,0,5,0,0,38,0,2,81,49,3,21,3,1,6,2,3,0,0,2,0,0,0,81,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,377,426,4039,116,58,854,467,1154,90,1943,2,9,0,0,1,30,16,85,27,74,0,0,20,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,80,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,378,426,4039,116,58,854,467,1154,90,1943,2,9,0,0,1,30,16,85,27,74,0,0,20,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,80,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,379,426,4039,116,58,854,467,1154,90,1943,2,9,0,0,1,30,16,85,27,74,0,0,20,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,80,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,380,119,3928,118,67,819,377,1202,83,1859,2,9,0,0,1,31,17,77,28,73,0,0,5,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,79,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,381,119,3928,118,67,819,377,1202,83,1859,2,9,0,0,1,31,17,77,28,73,0,0,5,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,79,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,382,119,3928,118,67,819,377,1202,83,1859,2,9,0,0,1,31,17,77,28,73,0,0,5,42,9,0,0,5,0,0,38,0,2,79,49,3,21,3,1,6,2,3,0,0,2,0,0,0,79,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
