orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
66541,66541,txn,,genus,Oplosaurus,,66541,genus,Oplosaurus,38653,28567,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Oplosaurus,66541,,,,,,,1
67037,67037,txn,,species,Oplosaurus armatus,,67037,species,Oplosaurus armatus,66541,12784,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Oplosaurus,66541,,,,,,,
66730,66730,txn,,species,Bothriospondylus elongatus,nomen dubium,38653,unranked clade,Sauropoda,38653,14124,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
66271,66271,txn,,species,Clasmodosaurus spatula,nomen dubium,38653,unranked clade,Sauropoda,38653,13712,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
313242,313242,txn,,genus,Oshanosaurus,,313242,genus,Oshanosaurus,38653,46057,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Oshanosaurus,313242,,Oshanosaurus youngi,313243,,,,1
313243,313243,txn,,species,Oshanosaurus youngi,,313243,species,Oshanosaurus youngi,313242,46057,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Oshanosaurus,313242,,,,,,,
63758,63758,txn,,species,Pleurocoelus altus,nomen dubium,38653,unranked clade,Sauropoda,38653,7834,extinct,2,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
65648,65648,txn,,genus,Microdontosaurus,,65648,genus,Microdontosaurus,38653,13360,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Microdontosaurus,65648,,Microdontosaurus dayensis,65649,,,,1
65649,65649,txn,,species,Microdontosaurus dayensis,,65649,species,Microdontosaurus dayensis,65648,46057,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Microdontosaurus,65648,,,,,,,
83019,83019,txn,,genus,Microsaurops,,83019,genus,Microsaurops,38653,36192,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Microsaurops,83019,,,,,,,0
83020,83020,txn,,genus,Microsaurus,replaced by,83019,genus,Microsaurops,38653,15490,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Microsaurops,83019,,,,,,,0
65153,65153,txn,,species,Iguanodon praecursor,nomen dubium,38653,unranked clade,Sauropoda,38653,19137,extinct,4,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
192447,192447,txn,,superfamily,Mamenchisauroidea,,192447,superfamily,Mamenchisauroidea,38653,36736,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,0,0,0
38663,38663,txn,,genus,Zizhongosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,17258,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Zizhongosaurus,38663,,Zizhongosaurus chuanchengensis,65675,,,,0
65675,65675,txn,,species,Zizhongosaurus chuanchengensis,nomen dubium,38653,unranked clade,Sauropoda,38663,17258,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Zizhongosaurus,38663,,,,,,,
67708,67708,txn,,species,Cetiosaurus epioolithicus,nomen nudum,38653,unranked clade,Sauropoda,38653,14456,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
65157,65157,txn,,genus,Neosodon,nomen dubium,38653,unranked clade,Sauropoda,38653,46546,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Neosodon,65157,,,,,,,0
435971,435971,txn,,species,Mamenchisaurus yunnanensis,nomen dubium,38653,unranked clade,Sauropoda,38653,76406,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
54167,54167,txn,,family,Morosauridae,,54167,family,Morosauridae,38653,9055,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Morosauridae,54167,,,,Morosaurus,52968,,,0,0
38650,38650,txn,,genus,Vulcanodon,,38650,genus,Vulcanodon,38653,9275,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Vulcanodon,38650,,,,,,,1
54979,54979,txn,,species,Vulcanodon karibaensis,,54979,species,Vulcanodon karibaensis,38650,9275,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Vulcanodon,38650,,,,,,,
71299,71299,txn,,species,Barosaurus affinis,nomen dubium,38653,unranked clade,Sauropoda,38653,9734,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
66830,66830,txn,,species,Cetiosaurus longus,nomen dubium,38653,unranked clade,Sauropoda,38653,14071,extinct,4,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
65643,65643,txn,,genus,Sanpasaurus,,65643,genus,Sanpasaurus,38653,45328,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Sanpasaurus,65643,,Sanpasaurus yaoi,65644,,,,1
65644,65644,txn,,species,Sanpasaurus yaoi,,65644,species,Sanpasaurus yaoi,65643,45328,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Sanpasaurus,65643,,,,,,,
66545,66545,txn,,genus,Gigantosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,14179,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Gigantosaurus,66545,,Gigantosaurus megalonyx,67008,,,,0
67008,67008,txn,,species,Gigantosaurus megalonyx,nomen dubium,38653,unranked clade,Sauropoda,66545,14179,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Gigantosaurus,66545,,,,,,,
327196,327196,txn,,genus,Pulanesaura,,327196,genus,Pulanesaura,38653,56189,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pulanesaura,327196,,,,,,,1
327197,327197,txn,,species,Pulanesaura eocollum,,327197,species,Pulanesaura eocollum,327196,56189,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pulanesaura,327196,,,,,,,
56452,56452,txn,,genus,Ultrasaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,60507,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Ultrasaurus,56452,,,,,,,0
56451,56451,txn,,species,Ultrasaurus tabriensis,nomen dubium,38653,unranked clade,Sauropoda,56452,36097,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Ultrasaurus,56452,,,,,,,
67707,67707,txn,,species,Cetiosaurus hypoolithicus,nomen nudum,38653,unranked clade,Sauropoda,38653,14456,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
65650,65650,txn,,genus,Lancanjiangosaurus,nomen nudum,38653,unranked clade,Sauropoda,38653,46057,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lancanjiangosaurus,65650,,Lancanjiangosaurus cachuensis,65651,,,,0
65651,65651,txn,,species,Lancanjiangosaurus cachuensis,nomen nudum,38653,unranked clade,Sauropoda,65650,46057,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lancanjiangosaurus,65650,,,,,,,
66628,66628,txn,,superfamily,Homalosauropodoidea,,66628,superfamily,Homalosauropodoidea,38653,13898,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,2,0,0
71975,71975,txn,,family,Huabeisauridae,,71975,family,Huabeisauridae,66628,16768,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Huabeisauridae,71975,,,,,,,,0,0
70437,70437,txn,,family,Amphicoeliidae,,70437,family,Amphicoeliidae,66628,33920,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Amphicoeliidae,70437,,,,,,,,0,0
435972,435972,txn,,species,Mamenchisaurus guangyuanensis,nomen dubium,38653,unranked clade,Sauropoda,38653,76407,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,NO_GENUS_SPECIFIED,NG,,,,,,,
65913,65913,txn,,genus,Ohmdenosaurus,,65913,genus,Ohmdenosaurus,38653,13560,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Ohmdenosaurus,65913,,,,,,,1
65914,65914,txn,,species,Ohmdenosaurus liasicus,,65914,species,Ohmdenosaurus liasicus,65913,13560,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Ohmdenosaurus,65913,,,,,,,
38704,38704,txn,,genus,Asiatosaurus,nomen dubium,38653,unranked clade,Sauropoda,38653,13097,extinct,6,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Asiatosaurus,38704,,,,,,,0
65692,65692,txn,,species,Asiatosaurus kwangshiensis,nomen dubium,38653,unranked clade,Sauropoda,38704,13841,extinct,2,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Asiatosaurus,38704,,,,,,,
65225,65225,txn,,species,Asiatosaurus mongoliensis,nomen dubium,38653,unranked clade,Sauropoda,38704,13097,extinct,3,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Asiatosaurus,38704,,,,,,,
66566,66566,txn,,family,Agustiniidae,,66566,family,Agustiniidae,38653,13862,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,Agustiniidae,66566,,,,,,,,0,0
313245,313245,txn,,genus,Dachongosaurus,,313245,genus,Dachongosaurus,38653,46057,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Dachongosaurus,313245,,Dachongosaurus yunnanensis,313246,,,,1
313246,313246,txn,,species,Dachongosaurus yunnanensis,,313246,species,Dachongosaurus yunnanensis,313245,46057,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Dachongosaurus,313245,,,,,,,
313240,313240,txn,,genus,Damalasaurus,,313240,genus,Damalasaurus,38653,46057,extinct,1,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Damalasaurus,313240,,Damalasaurus magnus,313241,,,,1
